3001,2019-1-7,2019-2-18,10:33,13:00,,,,,,S,
3001,2019-1-7,2019-2-18,08:00,10:27,,,,,,S,
3002,2019-1-7,2019-2-18,01:00,05:54,,,,,,,U
3003,2019-1-7,2019-2-18,01:00,05:54,,,,,,,U
3004,2019-1-7,2019-2-18,08:00,10:27,,,,,,S,
3004,2019-1-7,2019-2-18,10:33,13:00,,,,,,S,
3005,2019-1-7,2019-2-18,19:33,22:00,,T,,R,,,
3008,2019-1-7,2019-2-18,01:00,05:54,,,,,,,U
3009,2019-1-7,2019-2-18,01:00,05:54,,,,,,,U
3010,2019-1-7,2019-2-18,06:00,10:54,,,,,,,U
3011,2019-1-7,2019-2-18,06:00,10:54,,,,,,,U
3012,2019-1-7,2019-2-18,01:00,05:54,,,,,,,U
3013,2019-1-7,2019-2-18,19:33,22:00,,T,,R,,,
3014,2019-1-7,2019-2-18,01:00,05:54,,,,,,,U
3015,2019-1-7,2019-2-18,19:33,22:00,,T,,R,,,
3016,2019-1-7,2019-2-18,06:00,10:54,,,,,,,U
3017,2019-1-7,2019-2-18,06:00,10:54,,,,,,,U
3018,2019-1-7,2019-2-18,01:00,05:54,,,,,,,U
3019,2019-1-7,2019-2-18,01:00,05:54,,,,,,,U
3020,2019-1-7,2019-2-3,19:33,22:00,M,,W,,,,
3020,2019-2-5,2019-2-18,19:33,22:00,M,,W,,,,
3021,2019-1-7,2019-2-3,19:33,22:00,M,,W,,,,
3021,2019-2-5,2019-2-18,19:33,22:00,M,,W,,,,
3022,2019-1-7,2019-2-18,08:00,10:27,,,,,,S,
3022,2019-1-7,2019-2-18,10:33,13:00,,,,,,S,
3023,2019-1-7,2019-2-18,10:33,13:00,,,,,,S,
3023,2019-1-7,2019-2-18,08:00,10:27,,,,,,S,
3024,2019-1-7,2019-2-18,01:00,05:54,,,,,,,U
3026,2019-1-7,2019-2-18,01:00,05:54,,,,,,,U
3027,2019-1-7,2019-2-18,01:00,05:54,,,,,,,U
3028,2019-1-7,2019-2-18,19:33,22:00,M,T,,,,,
3029,2019-1-7,2019-2-18,01:00,05:54,,,,,,,U
3032,2019-1-7,2019-2-18,19:33,22:00,,T,,R,,,
3034,2019-1-7,2019-2-18,08:00,10:27,,,,,,S,
3034,2019-1-7,2019-2-18,10:33,13:00,,,,,,S,
3035,2019-1-7,2019-2-18,01:00,05:54,,,,,,,U
3036,2019-1-7,2019-2-18,01:00,05:54,,,,,,,U
3037,2019-1-7,2019-2-18,01:00,05:54,,,,,,,U
3038,2019-1-7,2019-2-18,01:00,05:54,,,,,,,U
3039,2019-1-7,2019-2-18,01:00,05:54,,,,,,,U
3040,2019-1-7,2019-2-18,01:00,05:54,,,,,,,U
3041,2019-1-7,2019-2-18,01:00,05:54,,,,,,,U
3042,2019-1-7,2019-2-18,01:00,05:54,,,,,,,U
3043,2019-1-7,2019-2-18,01:00,05:54,,,,,,,U
3044,2019-1-7,2019-2-18,01:00,05:54,,,,,,,U
3045,2019-1-7,2019-2-18,01:00,05:54,,,,,,,U
3046,2019-1-7,2019-2-18,01:00,05:54,,,,,,,U
3047,2019-1-7,2019-2-18,01:00,05:54,,,,,,,U
